col1,col2
400002,400002
400003,400003
400004,400004
400005,400005
400006,400006
400007,400007
400008,400008
400009,400009
400010,400010
400011,400011
400012,400012
400013,400013
400014,400014
400015,400015
400016,400016
400017,400017
400018,400018
400019,400019
400020,400020
400021,400021
400022,400022
400023,400023
400024,400024
400025,400025
400026,400026
400027,400027
400028,400028
400029,400029
400030,400030
400031,400031
400032,400032
400033,400033
400034,400034
400035,400035
400036,400036
400037,400037
400038,400038
400039,400039
400040,400040
400041,400041
400042,400042
400043,400043
400044,400044
400045,400045
400046,400046
400047,400047
400048,400048
400049,400049
400050,400050
400051,400051
400052,400052
400053,400053
400054,400054
400055,400055
400056,400056
400057,400057
400058,400058
400059,400059
400060,400060
400061,400061
400062,400062
400063,400063
400064,400064
400065,400065
400066,400066
400067,400067
400068,400068
400069,400069
400070,400070
400071,400071
400072,400072
400073,400073
400074,400074
400075,400075
400076,400076
400077,400077
400078,400078
400079,400079
400080,400080
400081,400081
400082,400082
400083,400083
400084,400084
400085,400085
400086,400086
400087,400087
400088,400088
400089,400089
400090,400090
400091,400091
400092,400092
400093,400093
400094,400094
400095,400095
400096,400096
400097,400097
400098,400098
400099,400099
400100,400100
400101,400101
400102,400102
400103,400103
400104,400104
400105,400105
400106,400106
400107,400107
400108,400108
400109,400109
400110,400110
400111,400111
400112,400112
400113,400113
400114,400114
400115,400115
400116,400116
400117,400117
400118,400118
400119,400119
400120,400120
400121,400121
400122,400122
400123,400123
400124,400124
400125,400125
400126,400126
400127,400127
400128,400128
400129,400129
400130,400130
400131,400131
400132,400132
400133,400133
400134,400134
400135,400135
400136,400136
400137,400137
400138,400138
400139,400139
400140,400140
400141,400141
400142,400142
400143,400143
400144,400144
400145,400145
400146,400146
400147,400147
400148,400148
400149,400149
400150,400150
400151,400151
400152,400152
400153,400153
400154,400154
400155,400155
400156,400156
400157,400157
400158,400158
400159,400159
400160,400160
400161,400161
400162,400162
400163,400163
400164,400164
400165,400165
400166,400166
400167,400167
400168,400168
400169,400169
400170,400170
400171,400171
400172,400172
400173,400173
400174,400174
400175,400175
400176,400176
400177,400177
400178,400178
400179,400179
400180,400180
400181,400181
400182,400182
400183,400183
400184,400184
400185,400185
400186,400186
400187,400187
400188,400188
400189,400189
400190,400190
400191,400191
400192,400192
400193,400193
400194,400194
400195,400195
400196,400196
400197,400197
400198,400198
400199,400199
400200,400200
400201,400201
400202,400202
400203,400203
400204,400204
400205,400205
400206,400206
400207,400207
400208,400208
400209,400209
400210,400210
400211,400211
400212,400212
400213,400213
400214,400214
400215,400215
400216,400216
400217,400217
400218,400218
400219,400219
400220,400220
400221,400221
400222,400222
400223,400223
400224,400224
400225,400225
400226,400226
400227,400227
400228,400228
400229,400229
400230,400230
400231,400231
400232,400232
400233,400233
400234,400234
400235,400235
400236,400236
400237,400237
400238,400238
400239,400239
400240,400240
400241,400241
400242,400242
400243,400243
400244,400244
400245,400245
400246,400246
400247,400247
400248,400248
400249,400249
400250,400250
400251,400251
400252,400252
400253,400253
400254,400254
400255,400255
400256,400256
400257,400257
400258,400258
400259,400259
400260,400260
400261,400261
400262,400262
400263,400263
400264,400264
400265,400265
400266,400266
400267,400267
400268,400268
400269,400269
400270,400270
400271,400271
400272,400272
400273,400273
400274,400274
400275,400275
400276,400276
400277,400277
400278,400278
400279,400279
400280,400280
400281,400281
400282,400282
400283,400283
400284,400284
400285,400285
400286,400286
400287,400287
400288,400288
400289,400289
400290,400290
400291,400291
400292,400292
400293,400293
400294,400294
400295,400295
400296,400296
400297,400297
400298,400298
400299,400299
400300,400300
400301,400301
400302,400302
400303,400303
400304,400304
400305,400305
400306,400306
400307,400307
400308,400308
400309,400309
400310,400310
400311,400311
400312,400312
400313,400313
400314,400314
400315,400315
400316,400316
400317,400317
400318,400318
400319,400319
400320,400320
400321,400321
400322,400322
400323,400323
400324,400324
400325,400325
400326,400326
400327,400327
400328,400328
400329,400329
400330,400330
400331,400331
400332,400332
400333,400333
400334,400334
400335,400335
400336,400336
400337,400337
400338,400338
400339,400339
400340,400340
400341,400341
400342,400342
400343,400343
400344,400344
400345,400345
400346,400346
400347,400347
400348,400348
400349,400349
400350,400350
400351,400351
400352,400352
400353,400353
400354,400354
400355,400355
400356,400356
400357,400357
400358,400358
400359,400359
400360,400360
400361,400361
400362,400362
400363,400363
400364,400364
400365,400365
400366,400366
400367,400367
400368,400368
400369,400369
400370,400370
400371,400371
400372,400372
400373,400373
400374,400374
400375,400375
400376,400376
400377,400377
400378,400378
400379,400379
400380,400380
400381,400381
400382,400382
400383,400383
400384,400384
400385,400385
400386,400386
400387,400387
400388,400388
400389,400389
400390,400390
400391,400391
400392,400392
400393,400393
400394,400394
400395,400395
400396,400396
400397,400397
400398,400398
400399,400399
400400,400400
400401,400401
400402,400402
400403,400403
400404,400404
400405,400405
400406,400406
400407,400407
400408,400408
400409,400409
400410,400410
400411,400411
400412,400412
400413,400413
400414,400414
400415,400415
400416,400416
400417,400417
400418,400418
400419,400419
400420,400420
400421,400421
400422,400422
400423,400423
400424,400424
400425,400425
400426,400426
400427,400427
400428,400428
400429,400429
400430,400430
400431,400431
400432,400432
400433,400433
400434,400434
400435,400435
400436,400436
400437,400437
400438,400438
400439,400439
400440,400440
400441,400441
400442,400442
400443,400443
400444,400444
400445,400445
400446,400446
400447,400447
400448,400448
400449,400449
400450,400450
400451,400451
400452,400452
400453,400453
400454,400454
400455,400455
400456,400456
400457,400457
400458,400458
400459,400459
400460,400460
400461,400461
400462,400462
400463,400463
400464,400464
400465,400465
400466,400466
400467,400467
400468,400468
400469,400469
400470,400470
400471,400471
400472,400472
400473,400473
400474,400474
400475,400475
400476,400476
400477,400477
400478,400478
400479,400479
400480,400480
400481,400481
400482,400482
400483,400483
400484,400484
400485,400485
400486,400486
400487,400487
400488,400488
400489,400489
400490,400490
400491,400491
400492,400492
400493,400493
400494,400494
400495,400495
400496,400496
400497,400497
400498,400498
400499,400499
400500,400500
400501,400501
400502,400502
400503,400503
400504,400504
400505,400505
400506,400506
400507,400507
400508,400508
400509,400509
400510,400510
400511,400511
400512,400512
400513,400513
400514,400514
400515,400515
400516,400516
400517,400517
400518,400518
400519,400519
400520,400520
400521,400521
400522,400522
400523,400523
400524,400524
400525,400525
400526,400526
400527,400527
400528,400528
400529,400529
400530,400530
400531,400531
400532,400532
400533,400533
400534,400534
400535,400535
400536,400536
400537,400537
400538,400538
400539,400539
400540,400540
400541,400541
400542,400542
400543,400543
400544,400544
400545,400545
400546,400546
400547,400547
400548,400548
400549,400549
400550,400550
400551,400551
400552,400552
400553,400553
400554,400554
400555,400555
400556,400556
400557,400557
400558,400558
400559,400559
400560,400560
400561,400561
400562,400562
400563,400563
400564,400564
400565,400565
400566,400566
400567,400567
400568,400568
400569,400569
400570,400570
400571,400571
400572,400572
400573,400573
400574,400574
400575,400575
400576,400576
400577,400577
400578,400578
400579,400579
400580,400580
400581,400581
400582,400582
400583,400583
400584,400584
400585,400585
400586,400586
400587,400587
400588,400588
400589,400589
400590,400590
400591,400591
400592,400592
400593,400593
400594,400594
400595,400595
400596,400596
400597,400597
400598,400598
400599,400599
400600,400600
400601,400601
400602,400602
400603,400603
400604,400604
400605,400605
400606,400606
400607,400607
400608,400608
400609,400609
400610,400610
400611,400611
400612,400612
400613,400613
400614,400614
400615,400615
400616,400616
400617,400617
400618,400618
400619,400619
400620,400620
400621,400621
400622,400622
400623,400623
400624,400624
400625,400625
400626,400626
400627,400627
400628,400628
400629,400629
400630,400630
400631,400631
400632,400632
400633,400633
400634,400634
400635,400635
400636,400636
400637,400637
400638,400638
400639,400639
400640,400640
400641,400641
400642,400642
400643,400643
400644,400644
400645,400645
400646,400646
400647,400647
400648,400648
400649,400649
400650,400650
400651,400651
400652,400652
400653,400653
400654,400654
400655,400655
400656,400656
400657,400657
400658,400658
400659,400659
400660,400660
400661,400661
400662,400662
400663,400663
400664,400664
400665,400665
400666,400666
400667,400667
400668,400668
400669,400669
400670,400670
400671,400671
400672,400672
400673,400673
400674,400674
400675,400675
400676,400676
400677,400677
400678,400678
400679,400679
400680,400680
400681,400681
400682,400682
400683,400683
400684,400684
400685,400685
400686,400686
400687,400687
400688,400688
400689,400689
400690,400690
400691,400691
400692,400692
400693,400693
400694,400694
400695,400695
400696,400696
400697,400697
400698,400698
400699,400699
400700,400700
400701,400701
400702,400702
400703,400703
400704,400704
400705,400705
400706,400706
400707,400707
400708,400708
400709,400709
400710,400710
400711,400711
400712,400712
400713,400713
400714,400714
400715,400715
400716,400716
400717,400717
400718,400718
400719,400719
400720,400720
400721,400721
400722,400722
400723,400723
400724,400724
400725,400725
400726,400726
400727,400727
400728,400728
400729,400729
400730,400730
400731,400731
400732,400732
400733,400733
400734,400734
400735,400735
400736,400736
400737,400737
400738,400738
400739,400739
400740,400740
400741,400741
400742,400742
400743,400743
400744,400744
400745,400745
400746,400746
400747,400747
400748,400748
400749,400749
400750,400750
400751,400751
400752,400752
400753,400753
400754,400754
400755,400755
400756,400756
400757,400757
400758,400758
400759,400759
400760,400760
400761,400761
400762,400762
400763,400763
400764,400764
400765,400765
400766,400766
400767,400767
400768,400768
400769,400769
400770,400770
400771,400771
400772,400772
400773,400773
400774,400774
400775,400775
400776,400776
400777,400777
400778,400778
400779,400779
400780,400780
400781,400781
400782,400782
400783,400783
400784,400784
400785,400785
400786,400786
400787,400787
400788,400788
400789,400789
400790,400790
400791,400791
400792,400792
400793,400793
400794,400794
400795,400795
400796,400796
400797,400797
400798,400798
400799,400799
400800,400800
400801,400801
400802,400802
400803,400803
400804,400804
400805,400805
400806,400806
400807,400807
400808,400808
400809,400809
400810,400810
400811,400811
400812,400812
400813,400813
400814,400814
400815,400815
400816,400816
400817,400817
400818,400818
400819,400819
400820,400820
400821,400821
400822,400822
400823,400823
400824,400824
400825,400825
400826,400826
400827,400827
400828,400828
400829,400829
400830,400830
400831,400831
400832,400832
400833,400833
400834,400834
400835,400835
400836,400836
400837,400837
400838,400838
400839,400839
400840,400840
400841,400841
400842,400842
400843,400843
400844,400844
400845,400845
400846,400846
400847,400847
400848,400848
400849,400849
400850,400850
400851,400851
400852,400852
400853,400853
400854,400854
400855,400855
400856,400856
400857,400857
400858,400858
400859,400859
400860,400860
400861,400861
400862,400862
400863,400863
400864,400864
400865,400865
400866,400866
400867,400867
400868,400868
400869,400869
400870,400870
400871,400871
400872,400872
400873,400873
400874,400874
400875,400875
400876,400876
400877,400877
400878,400878
400879,400879
400880,400880
400881,400881
400882,400882
400883,400883
400884,400884
400885,400885
400886,400886
400887,400887
400888,400888
400889,400889
400890,400890
400891,400891
400892,400892
400893,400893
400894,400894
400895,400895
400896,400896
400897,400897
400898,400898
400899,400899
400900,400900
400901,400901
400902,400902
400903,400903
400904,400904
400905,400905
400906,400906
400907,400907
400908,400908
400909,400909
400910,400910
400911,400911
400912,400912
400913,400913
400914,400914
400915,400915
400916,400916
400917,400917
400918,400918
400919,400919
400920,400920
400921,400921
400922,400922
400923,400923
400924,400924
400925,400925
400926,400926
400927,400927
400928,400928
400929,400929
400930,400930
400931,400931
400932,400932
400933,400933
400934,400934
400935,400935
400936,400936
400937,400937
400938,400938
400939,400939
400940,400940
400941,400941
400942,400942
400943,400943
400944,400944
400945,400945
400946,400946
400947,400947
400948,400948
400949,400949
400950,400950
400951,400951
400952,400952
400953,400953
400954,400954
400955,400955
400956,400956
400957,400957
400958,400958
400959,400959
400960,400960
400961,400961
400962,400962
400963,400963
400964,400964
400965,400965
400966,400966
400967,400967
400968,400968
400969,400969
400970,400970
400971,400971
400972,400972
400973,400973
400974,400974
400975,400975
400976,400976
400977,400977
400978,400978
400979,400979
400980,400980
400981,400981
400982,400982
400983,400983
400984,400984
400985,400985
400986,400986
400987,400987
400988,400988
400989,400989
400990,400990
400991,400991
400992,400992
400993,400993
400994,400994
400995,400995
400996,400996
400997,400997
400998,400998
400999,400999
401000,401000
401001,401001
401002,401002
401003,401003
401004,401004
401005,401005
401006,401006
401007,401007
401008,401008
401009,401009
401010,401010
401011,401011
401012,401012
401013,401013
401014,401014
401015,401015
401016,401016
401017,401017
401018,401018
401019,401019
401020,401020
401021,401021
401022,401022
401023,401023
401024,401024
401025,401025
401026,401026
401027,401027
401028,401028
401029,401029
401030,401030
401031,401031
401032,401032
401033,401033
401034,401034
401035,401035
401036,401036
401037,401037
401038,401038
401039,401039
401040,401040
401041,401041
401042,401042
401043,401043
401044,401044
401045,401045
401046,401046
401047,401047
401048,401048
401049,401049
401050,401050
401051,401051
401052,401052
401053,401053
401054,401054
401055,401055
401056,401056
401057,401057
401058,401058
401059,401059
401060,401060
401061,401061
401062,401062
401063,401063
401064,401064
401065,401065
401066,401066
401067,401067
401068,401068
401069,401069
401070,401070
401071,401071
401072,401072
401073,401073
401074,401074
401075,401075
401076,401076
401077,401077
401078,401078
401079,401079
401080,401080
401081,401081
401082,401082
401083,401083
401084,401084
401085,401085
401086,401086
401087,401087
401088,401088
401089,401089
401090,401090
401091,401091
401092,401092
401093,401093
401094,401094
401095,401095
401096,401096
401097,401097
401098,401098
401099,401099
401100,401100
401101,401101
401102,401102
401103,401103
401104,401104
401105,401105
401106,401106
401107,401107
401108,401108
401109,401109
401110,401110
401111,401111
401112,401112
401113,401113
401114,401114
401115,401115
401116,401116
401117,401117
401118,401118
401119,401119
401120,401120
401121,401121
401122,401122
401123,401123
401124,401124
401125,401125
401126,401126
401127,401127
401128,401128
401129,401129
401130,401130
401131,401131
401132,401132
401133,401133
401134,401134
401135,401135
401136,401136
401137,401137
401138,401138
401139,401139
401140,401140
401141,401141
401142,401142
401143,401143
401144,401144
401145,401145
401146,401146
401147,401147
401148,401148
401149,401149
401150,401150
401151,401151
401152,401152
401153,401153
401154,401154
401155,401155
401156,401156
401157,401157
401158,401158
401159,401159
401160,401160
401161,401161
401162,401162
401163,401163
401164,401164
401165,401165
401166,401166
401167,401167
401168,401168
401169,401169
401170,401170
401171,401171
401172,401172
401173,401173
401174,401174
401175,401175
401176,401176
401177,401177
401178,401178
401179,401179
401180,401180
401181,401181
401182,401182
401183,401183
401184,401184
401185,401185
401186,401186
